Title,Company,Location,Date,Apply Here
Project engineer,Baxter International Inc.,"Manouba Governorate, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/project-engineer-at-baxter-international-inc-2821165432?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=9Tc%2BUEniC2Kdxyj5ZcCyfg%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
Secrétaire général,Université internationale privée de Tunis,"Tunis, Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/secr%C3%A9taire-g%C3%A9n%C3%A9ral-at-universit%C3%A9-internationale-priv%C3%A9e-de-tunis-2816334463?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=TwF%2BcyKe65UIrHXEOs6yyw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
"Commercial ""Distribution"" (H/F)",Edifis Group,"Al Marsá, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/commercial-distribution-h-f-at-edifis-group-2818505734?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=z9kvfLjbi4wET%2BXqB6F7JQ%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Chargé de production,GROUPE IMPACT,"Tunis, Tunisia",2021-12-01,https://tn.linkedin.com/jobs/view/charg%C3%A9-de-production-at-groupe-impact-2745003688?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=yPPn7ZqOkxG1rj1gVb52Eg%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
"Commercial ""Chantiers / Projets"" (H/F)",Edifis Group,"Al Marsá, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/commercial-chantiers-projets-h-f-at-edifis-group-2818503973?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=r%2FH6oIVQeoWJ2nP%2Bkf3SlA%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Credit & Collections Controller Africa,Baxter International Inc.,"Tunis, Tunis, Tunisia",2021-09-23,https://tn.linkedin.com/jobs/view/credit-collections-controller-africa-at-baxter-international-inc-2754936959?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=pPZVXCbhTUX8KNcFhcKhxA%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Director Of Sales And Marketing,Le Corail Suites Hotel,"Tunis, Tunisia",2021-11-21,https://tn.linkedin.com/jobs/view/director-of-sales-and-marketing-at-le-corail-suites-hotel-2803385343?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=ud2oenEORz4sibWIEqI30w%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Administration and Logistics Assistant,Reliable Robotics Corporation,"Tunis, Tunisia",2021-10-27,https://tn.linkedin.com/jobs/view/administration-and-logistics-assistant-at-reliable-robotics-corporation-2808669438?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=Y2ng0ds%2BpDrjtUuRFiFqpw%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Architecte d’intérieur commercial (H/F),Edifis Group,"El Aouina, Tunis, Tunisia",2021-11-29,https://tn.linkedin.com/jobs/view/architecte-d%E2%80%99int%C3%A9rieur-commercial-h-f-at-edifis-group-2818509264?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=u9zmNYMfzdxzYY0LOtWnCw%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Responsable achats,AMA Group,"Tunis, Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/responsable-achats-at-ama-group-2824230779?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=eMNyt7ah8TOZQZPNogPmKw%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Portfolio Manager/Responsable investissements- poste basé à Tunis,Samari Consulting,"Tunis, Tunisia",2021-11-26,https://tn.linkedin.com/jobs/view/portfolio-manager-responsable-investissements-poste-bas%C3%A9-%C3%A0-tunis-at-samari-consulting-2809976350?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=I07uny37qp3f75PuHAGUDQ%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Formateur H/F en Secrétariat et Assistanat de direction,CEFOR Groupe universitaire Mahmoud El Materi,"Tunis, Tunis, Tunisia",2021-11-22,https://tn.linkedin.com/jobs/view/formateur-h-f-en-secr%C3%A9tariat-et-assistanat-de-direction-at-cefor-groupe-universitaire-mahmoud-el-materi-2787000630?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=uUC%2FMQqrqi%2B599WJ0JiXaQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
Sales Supervisor/ Sales Manager,CRIT TUNISIE,"Tunis, Tunisia",2021-12-06,https://tn.linkedin.com/jobs/view/sales-supervisor-sales-manager-at-crit-tunisie-2821100852?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=OS0ywOGA4VVLlJXP8oZGxg%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Community manager,OZE,"al-Karam, Tunis, Tunisia",2021-12-02,https://tn.linkedin.com/jobs/view/community-manager-at-oze-2815303809?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=fHTgO%2FfmxX5O5YoAY3NH5g%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
Superviseur service clients (Télévente),MANIARO,"Tunis, Tunisia",2021-11-30,https://tn.linkedin.com/jobs/view/superviseur-service-clients-t%C3%A9l%C3%A9vente-at-maniaro-2820551446?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=c0GKXwTyJLi4jLwBoC1vYw%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
Assistante,Liquidation judiciaire,"Tunis, Tunisia",2021-11-21,https://tn.linkedin.com/jobs/view/assistante-at-liquidation-judiciaire-2803381945?refId=UZXasPFf8L4yEPMz7z%2BlEA%3D%3D&trackingId=x1QgSltQC7FRaWJgwyue5g%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
